,Year,Trade.Flow,Reporter,Reporter.Code,CONCAT_1,GDP Country 1,Partner,Partner.Code,CONCAT_2,GDP Country 2,Trade.Value..US..,concat,Year in Force ,FTA Dummy ,Bucket ,Panel Number
1,1989,Export,Canada,124,1989_Canada,5.65056E+11,Chile,152,1989_Chile,29885690000,96189898,124152,1997,0,1,1
2,1990,Export,Canada,124,1990_Canada,5.9393E+11,Chile,152,1990_Chile,33113890000,168584761,124152,1997,0,1,1
3,1991,Export,Canada,124,1991_Canada,6.10328E+11,Chile,152,1991_Chile,37834790000,130740561,124152,1997,0,1,1
4,1992,Export,Canada,124,1992_Canada,5.92388E+11,Chile,152,1992_Chile,45964330000,128209248,124152,1997,0,1,1
5,1993,Export,Canada,124,1993_Canada,5.77171E+11,Chile,152,1993_Chile,49297770000,163965555,124152,1997,0,1,1
6,1994,Export,Canada,124,1994_Canada,5.78139E+11,Chile,152,1994_Chile,57008430000,229064755,124152,1997,0,1,1
7,1995,Export,Canada,124,1995_Canada,6.04032E+11,Chile,152,1995_Chile,73447060000,282428759,124152,1997,0,1,1
8,1996,Export,Canada,124,1996_Canada,6.28546E+11,Chile,152,1996_Chile,78039570000,304792894,124152,1997,0,1,1
9,1997,Export,Canada,124,1997_Canada,6.52825E+11,Chile,152,1997_Chile,84952360000,283396985,124152,1997,1,1,1
10,1998,Export,Canada,124,1998_Canada,6.31813E+11,Chile,152,1998_Chile,81577430000,227432800,124152,1997,1,1,1
11,1999,Export,Canada,124,1999_Canada,6.76083E+11,Chile,152,1999_Chile,75173790000,242725919,124152,1997,1,1,1
12,2000,Export,Canada,124,2000_Canada,7.42293E+11,Chile,152,2000_Chile,77860930000,298540636,124152,1997,1,1,1
13,2001,Export,Canada,124,2001_Canada,7.3638E+11,Chile,152,2001_Chile,70979920000,238464749,124152,1997,1,1,1
14,2002,Export,Canada,124,2002_Canada,7.57951E+11,Chile,152,2002_Chile,69736810000,180163739,124152,1997,1,1,1
15,2003,Export,Canada,124,2003_Canada,8.92381E+11,Chile,152,2003_Chile,75643460000,231526083,124152,1997,1,1,1
16,2004,Export,Canada,124,2004_Canada,1.0232E+12,Chile,152,2004_Chile,99210390000,276670595,124152,1997,1,1,1
17,2005,Export,Canada,124,2005_Canada,1.16936E+12,Chile,152,2005_Chile,1.22965E+11,344905705,124152,1997,1,1,1
18,2006,Export,Canada,124,2006_Canada,1.31542E+12,Chile,152,2006_Chile,1.54788E+11,417010795,124152,1997,1,1,1
19,2007,Export,Canada,124,2007_Canada,1.46498E+12,Chile,152,2007_Chile,1.73606E+11,702068491,124152,1997,1,1,1
20,2008,Export,Canada,124,2008_Canada,1.54913E+12,Chile,152,2008_Chile,1.79638E+11,683351770,124152,1997,1,1,1
21,2009,Export,Canada,124,2009_Canada,1.37115E+12,Chile,152,2009_Chile,1.72389E+11,566304578,124152,1997,1,1,1
22,2010,Export,Canada,124,2010_Canada,1.61346E+12,Chile,152,2010_Chile,2.18538E+11,570636887,124152,1997,1,1,1
23,2011,Export,Canada,124,2011_Canada,1.78865E+12,Chile,152,2011_Chile,2.52252E+11,826886837,124152,1997,1,1,1
24,2012,Export,Canada,124,2012_Canada,1.82429E+12,Chile,152,2012_Chile,2.67122E+11,790086724,124152,1997,1,1,1
25,2013,Export,Canada,124,2013_Canada,1.84263E+12,Chile,152,2013_Chile,2.78384E+11,776635965,124152,1997,1,1,1
26,2014,Export,Canada,124,2014_Canada,1.79927E+12,Chile,152,2014_Chile,2.60584E+11,1027126536,124152,1997,1,1,1
27,2015,Export,Canada,124,2015_Canada,1.55962E+12,Chile,152,2015_Chile,2.43999E+11,618277413,124152,1997,1,1,1
28,2016,Export,Canada,124,2016_Canada,1.53577E+12,Chile,152,2016_Chile,2.50036E+11,547609203,124152,1997,1,1,1
