,lnGdp_1,lnGdp_2,lnTrade_value,panel_number,reporter,partner,year_in_force,Reporter Latitude ,Reporter Longitude ,Partner Latitude,Partner Longitude
1,0.091640065,0.897333642,18.3818349,1,Canada,Chile,1997,56.130366,-106.346771,-35.675147,-71.542969
2,-0.018155988,0.752064393,18.94978012,2,Canada,Colombia,2011,56.130366,-106.346771,4.570868,-74.297333
3,0.469519839,0.676237293,16.82240624,3,Canada,Costa Rica,2002,56.130366,-106.346771,9.748917,-83.753428
4,1.80539607,-0.234531011,16.33253995,4,Canada,Honduras,2014,56.130366,-106.346771,15.199999,-86.241905
5,0.774119308,-0.067197469,18.52550353,5,Canada,Israel,1997,56.130366,-106.346771,31.046051,34.851612
6,1.660314271,0.309151284,15.55494515,6,Canada,Jordan,2012,56.130366,-106.346771,30.585164,36.238414
7,0.65746608,0.215582325,21.02615202,7,Canada,Rep. of Korea,2015,56.130366,-106.346771,35.907757,127.766922
8,0.483701265,0.814229571,16.60592686,8,Canada,Panama,2013,56.130366,-106.346771,8.537981,-80.782127
9,0.134043113,1.167514542,17.71205436,9,Canada,Peru,2009,56.130366,-106.346771,-9.189967,-75.015152
10,1.712768405,0.447636291,16.94674659,10,Canada,Ukraine,2017,56.130366,-106.346771,48.379433,31.16558
11,-0.001592384,2.117686129,17.85833092,11,Chile,Canada,1997,-35.675147,-71.542969,56.130366,-106.346771
12,0.904501448,1.480547166,17.34575658,12,Chile,China,2010,-35.675147,-71.542969,35.86166,104.195397
13,0.002595959,1.406099149,18.20164026,13,Chile,Colombia,2009,-35.675147,-71.542969,4.570868,-74.297333
14,0.331246752,0.782800564,16.731273,14,Chile,Costa Rica,2002,-35.675147,-71.542969,9.748917,-83.753428
15,-0.499632545,1.766959594,14.73183689,15,Chile,El Salvador,2002,-35.675147,-71.542969,13.794185,-88.89653
16,-0.037857055,2.32005919,16.38100069,16,Chile,Guatemala,2010,-35.675147,-71.542969,15.783471,-90.230759
17,0.225447207,2.201897135,14.09241703,17,Chile,Honduras,2008,-35.675147,-71.542969,15.199999,-86.241905
18,0.902273949,-0.055784873,17.51769195,18,Chile,"China, Hong Kong SAR",2014,-35.675147,-71.542969,22.396428,114.109497
19,-0.055209043,1.980393919,17.40225994,19,Chile,Australia,2009,-35.675147,-71.542969,-25.274398,133.775136
20,0.798985698,0.389010425,21.04852934,20,Chile,Japan,2007,-35.675147,-71.542969,36.204824,138.252924
21,0.243464559,1.259612937,19.36952137,21,Chile,Rep. of Korea,2004,-35.675147,-71.542969,35.907757,127.766922
22,2.081968451,-0.832634756,16.11593452,22,Chile,Malaysia,2012,-35.675147,-71.542969,4.210484,101.975766
23,-0.103054692,1.766826867,17.8777609,23,Chile,Mexico,1999,-35.675147,-71.542969,23.634501,-102.552784
24,0.941464738,1.359390637,12.63163119,24,Chile,Nicaragua,2012,-35.675147,-71.542969,12.865416,-85.207229
25,1.108130828,0.565498498,16.37073455,25,Chile,Panama,2008,-35.675147,-71.542969,8.537981,-80.782127
26,1.04248205,0.599397173,18.12388925,26,Chile,Peru,2009,-35.675147,-71.542969,-9.189967,-75.015152
27,-0.923031686,3.470168064,13.01485834,27,Chile,Viet Nam,2014,-35.675147,-71.542969,14.058324,108.277199
28,0.046925099,1.466707808,17.32421435,28,Chile,Thailand,2015,-35.675147,-71.542969,15.870032,100.992541
29,-1.871504612,3.756390256,16.8024745,29,Chile,Turkey,2011,-35.675147,-71.542969,38.963745,35.243322
30,0.068561339,1.301998607,21.07984999,30,Chile,USA,2004,-35.675147,-71.542969,37.09024,-95.712891
31,1.189664381,0.585044703,18.66866733,31,China,Chile,2009,35.86166,104.195397,-35.675147,-71.542969
32,1.106618272,1.394222393,15.39749073,32,China,Costa Rica,2011,35.86166,104.195397,9.748917,-83.753428
33,0.57608067,2.879507275,14.60711931,33,China,Georgia,2018,35.86166,104.195397,42.315407,43.356892
34,1.003690674,-1.114425758,24.34793246,34,China,"China, Hong Kong SAR",2003,35.86166,104.195397,22.396428,114.109497
35,0.774647097,1.803600621,14.21277749,35,China,Iceland,2014,35.86166,104.195397,64.963051,-19.020835
36,1.343611272,-0.113362053,20.30895626,36,China,Australia,2015,35.86166,104.195397,-25.274398,133.775136
37,0.634864118,1.302456147,21.60077381,37,China,Rep. of Korea,2015,35.86166,104.195397,35.907757,127.766922
38,0.203367936,0.253605573,20.08584168,38,China,"China, Macao SAR",2003,35.86166,104.195397,22.198745,113.543873
39,1.075104125,0.609842647,18.28595738,39,China,New Zealand,2008,35.86166,104.195397,-40.900557,174.885971
40,-0.574179664,3.13916764,20.12802215,40,China,Pakistan,2009,35.86166,104.195397,30.375321,69.345116
41,0.911442183,1.533992184,17.38387652,41,China,Peru,2010,35.86166,104.195397,-9.189967,-75.015152
42,1.12980182,0.174064707,21.43172325,42,China,Singapore,2009,35.86166,104.195397,1.352083,103.819836
43,1.02137339,-0.116077202,18.88987785,43,China,Switzerland,2014,35.86166,104.195397,46.818188,8.227512
44,-0.226805629,2.28287851,12.74256602,44,Georgia,China,2018,42.315407,43.356892,35.86166,104.195397
45,1.074486984,0.518969634,17.00781055,45,Georgia,Azerbaijan,1996,42.315407,43.356892,40.143105,47.576927
46,-0.506668442,1.763720337,14.69931198,46,Georgia,Kazakhstan,1999,42.315407,43.356892,48.019573,66.923684
47,1.912213002,-0.249368918,16.86155427,47,Georgia,Armenia,1998,42.315407,43.356892,40.069099,45.038189
48,1.917559681,-1.530447796,17.85266126,48,Georgia,Russian Federation,1994,42.315407,43.356892,61.52401,105.318756
49,0.113842249,1.026392682,17.0695454,49,Georgia,Turkey,2008,42.315407,43.356892,38.963745,35.243322
50,-1.830519269,0.669703026,16.41311966,50,Georgia,Turkmenistan,2000,42.315407,43.356892,38.969719,59.556278
51,1.003735865,0.793737964,15.50593621,51,Georgia,Ukraine,1996,42.315407,43.356892,48.379433,31.16558
52,-0.531357873,1.555013983,16.98716596,52,Australia,Chile,2009,-25.274398,133.775136,-35.675147,-71.542969
53,0.917358435,0.990019821,20.45498416,53,Australia,China,2015,-25.274398,133.775136,35.86166,104.195397
